GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-users,com.vitalpet.msusers.assembler,UserModelAssembler,33,0,0,0,4,0,2,0,2,0
ms-users,com.vitalpet.msusers,MsUsersApplication,8,0,0,0,3,0,2,0,2,0
ms-users,com.vitalpet.msusers.controller,UserController,72,0,0,0,13,0,11,0,11,0
ms-users,com.vitalpet.msusers.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
ms-users,com.vitalpet.msusers.exception,GlobalExceptionHandler,175,0,0,0,46,0,8,0,8,0
ms-users,com.vitalpet.msusers.service,UserService,27,262,0,2,0,47,5,16,5,15
