GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-staff,com.vitalpet.msstaff.service,StaffService,56,427,7,15,6,101,12,18,5,14
ms-staff,com.vitalpet.msstaff.controller,StaffController,54,0,0,0,10,0,9,0,9,0
ms-staff,com.vitalpet.msstaff,MsStaffApplication,8,0,0,0,3,0,2,0,2,0
ms-staff,com.vitalpet.msstaff.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
ms-staff,com.vitalpet.msstaff.exception,GlobalExceptionHandler,175,0,0,0,46,0,8,0,8,0
