GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-notifications,com.vitalpet.msnotifications.exception,GlobalExceptionHandler,175,0,0,0,46,0,8,0,8,0
ms-notifications,com.vitalpet.msnotifications.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
ms-notifications,com.vitalpet.msnotifications,MsNotificationsApplication,8,0,0,0,3,0,2,0,2,0
ms-notifications,com.vitalpet.msnotifications.service,NotificationService,0,160,1,3,0,29,1,8,0,7
ms-notifications,com.vitalpet.msnotifications.controller,NotificationController,26,0,0,0,4,0,4,0,4,0
